gauge,month,year,day,pr,wet_marker
1943003,6,1981,26,0.0,1
1943003,6,1981,27,0.0,1
1943003,6,1981,28,0.0,1
1943003,6,1981,29,0.0,1
1943003,6,1981,30,0.0,1
1943003,7,1981,1,0.0,1
1943003,7,1981,2,0.0,1
1943003,7,1981,3,0.0,1
1943003,7,1981,4,0.0,1
1943003,7,1981,5,0.0,1
1943003,7,1981,6,0.0,1
1943003,7,1981,7,0.0,1
1943003,7,1981,8,0.0,1
1943003,7,1981,9,0.0,1
1943003,7,1981,10,0.0,1
1943003,7,1981,11,0.0,1
1943003,7,1981,12,0.0,1
1943003,7,1981,13,0.0,1
1943003,7,1981,14,0.0,1
1943003,7,1981,15,0.0,1
1943003,7,1981,16,0.0,1
1943003,7,1981,17,0.0,1
1943003,7,1981,18,0.0,1
1943003,7,1981,19,0.0,1
1943003,7,1981,20,0.0,1
1943003,7,1981,21,0.0,1
1943003,7,1981,22,0.0,1
1943003,7,1981,23,0.0,1
1943003,7,1981,24,0.0,1
1943003,7,1981,25,0.0,1
1943003,7,1981,26,0.0,1
1943003,7,1981,27,0.0,1
1943003,7,1981,28,0.0,1
1943003,7,1981,29,0.0,1
1943003,7,1981,30,0.0,1
1943003,7,1981,31,0.0,1
1943003,8,1981,1,0.0,1
1943003,8,1981,2,0.0,1
1943003,8,1981,3,0.0,1
1943003,8,1981,4,0.0,1
1943003,8,1981,5,0.0,1
1943003,8,1981,6,0.0,1
1943003,8,1981,7,0.0,1
1943003,8,1981,8,0.0,1
1943003,8,1981,9,0.0,1
1943003,8,1981,10,0.0,1
1943003,8,1981,11,0.0,1
1943003,8,1981,12,0.0,1
1943003,8,1981,13,0.0,1
1943003,8,1981,14,0.0,1
1943003,8,1981,15,0.0,1
1943003,8,1981,16,0.0,1
1943003,8,1981,17,0.0,1
1943003,8,1981,18,0.02,1
1943003,8,1981,19,7.18,0
1943003,8,1981,20,0.0,1
1943003,8,1981,21,0.0,1
1943003,8,1981,22,0.0,1
1943003,8,1981,23,0.0,1
1943003,8,1981,24,0.0,1
1943003,8,1981,25,0.0,1
1943003,8,1981,26,0.0,1
1943003,8,1981,27,0.0,1
1943003,8,1981,28,0.0,1
1943003,8,1981,29,0.0,1
1943003,8,1981,30,0.0,1
1943003,8,1981,31,0.0,1
1943003,9,1981,1,0.0,1
1943003,9,1981,2,0.0,1
1943003,9,1981,3,0.0,1
